source_id,mass,radial_velocity,teff,logg,spectral_type,mag_g,mag_bp,mag_rp,age,radius
1729428093069688942,0.784,-16.47424,4841.7236,4.607,K2V,21.176546,22.242432,20.114653,4.0,0.7188716
1729428093069688943,0.6,-84.80809,5533.5015,8.03,DAVII,29.657957,30.579132,28.66633,4.0,0.012378022
1729428093069688944,0.073,-13.332177,1599.558,5.36,L5V,33.605865,38.822666,31.945753,4.0,0.30524695
1729428093069688947,0.703,-2.876662,4909.0786,4.658,K1.5V,22.071234,23.231613,20.965797,4.0,0.640695
1729428093069688952,0.583,49.077946,3926.4495,4.728,K9V,24.048687,25.80637,22.744305,4.0,0.54531986
1729428093069688960,0.384,-83.19054,3523.7087,4.917,M2V,25.907213,28.267113,24.468071,4.0,0.3553459
1729428093069688965,0.853,-34.457275,5520.7744,4.564,G4V,22.524647,23.990185,21.304752,4.0,0.788227
1729428093069688984,0.917,-16.698658,5333.349,4.496,G6V,19.976717,21.016119,18.92711,6.0,0.88440526
1729428093069688987,0.89,-39.28438,5321.0825,4.518,G6V,20.201668,21.14107,19.203987,6.0,0.84849894
1729428093069688989,0.604,30.324512,4477.133,4.7,K5V,21.988224,23.186394,20.867907,6.0,0.5736557
1729428093069688993,0.6,-21.635975,5597.5747,8.05,DBVII,29.988356,30.910067,28.996437,6.0,0.012096271
1729428093069689001,1.16,49.90843,6095.369,3.993,F7.5IV,19.782476,20.945023,18.674202,6.0,1.7727656
2203728096140460036,0.499,-67.69458,3990.249,4.803,K8V,21.301311,22.282219,20.289555,4.0,0.4598872
2203728096140460037,0.265,-48.786167,3556.3132,5.026,M1.5V,22.397818,23.737728,21.220959,6.0,0.2610065
2203728096140460042,0.3,-98.52614,3491.403,4.984,M2V,25.17863,26.486456,24.018618,6.0,0.29150856
2203728096140460044,0.706,-100.21747,4613.176,4.639,K4V,19.677794,20.400702,18.817638,8.5,0.65864486
2203728096140460045,0.904,-52.80078,5116.8184,4.481,G9V,20.3835,20.964077,19.627872,8.5,0.89258856
2203728096140460047,0.157,40.75655,3258.367,5.148,M3.5V,22.013056,23.722424,20.696907,10.0,0.1740409
2203728096945766402,1.685,-17.988974,,,,10.979839,11.610151,10.188502,2.5,
2203728096945766403,2.019,-168.16605,,,,20.261763,20.721094,19.606884,2.5,
2203728096945766404,1.26,-66.33742,,,,19.416988,20.101625,18.58186,4.0,
2203728096945766405,0.774,-46.33535,,,,20.684378,21.865484,19.572508,6.0,
2203728096945766410,1.367,-98.497826,,,,18.875202,19.252024,18.3032,6.0,
2203728096945766412,1.653,-28.135977,,,,17.708126,18.236374,16.994444,8.5,
2203728096945766413,1.838,-53.280617,,,,19.373116,19.908806,18.652784,8.5,
2203728096945766415,0.633,43.11481,,,,18.817736,19.780495,17.80548,10.0,
2203778090365091843,1.578,-148.71524,,,,19.944927,20.349335,19.343733,2.5,
2203778090365091844,3.104,-167.40887,,,,19.565453,20.032524,18.90159,2.5,
2203778090365091847,1.098,-153.8391,,,,20.73229,21.234306,20.034708,8.5,
2203778091573051394,1.535,-125.64925,6668.068,3.903,F3IV,17.582174,17.931974,17.0434,2.5,2.262827
2203778091707269126,0.522,-96.621544,3767.038,4.781,M0V,23.626137,24.80358,22.520037,6.0,0.48378378
2203778092512575490,3.138,-115.48132,,,,17.527643,17.890833,16.973404,2.5,
2203778092512575494,1.639,-95.82749,,,,18.689878,19.159449,18.023443,6.0,
2203778093586317319,0.763,-188.36673,5688.5293,4.579,G3V,20.545609,21.070826,19.830698,12.0,0.7390117
2203778093586317320,0.725,-117.701225,5445.0264,4.627,G6V,20.917938,21.458082,20.1922,12.0,0.686517
2203778093720535041,1.105,-81.936905,5956.6216,4.451,F9V,19.609486,20.071527,18.95232,0.575,1.0201201
2203778093720535044,0.984,-133.13065,5584.702,4.467,G3V,20.712835,21.233295,20.00547,4.0,0.9433032
2203778093720535045,1.127,-63.772804,6095.369,4.103,F8IV,17.81635,18.261427,17.175343,6.0,1.5369202
2203778093720535046,0.999,-134.57571,5701.6426,4.4,G2V,20.363234,20.828876,19.702984,6.0,1.0295591
2203778093854752769,0.073,-86.998566,1599.558,5.36,L5V,34.09241,38.764626,32.47264,0.575,0.30524695
2203778093854752772,0.4,-144.04854,3531.8318,4.903,M2V,25.288385,26.627611,24.11177,4.0,0.36868146
2203778093854752773,0.537,-61.85444,3775.722,4.767,M0V,22.753805,23.90571,21.655785,6.0,0.49963322
2203778093854752774,0.798,-134.47444,5649.3696,4.577,G3V,21.133234,21.598877,20.472984,6.0,0.7492924
2203778093988970501,0.398,-63.6881,3531.8318,4.9,M2V,23.825424,25.174448,22.645332,6.0,0.36868146
2203778094660059137,1.178,-82.25057,,,,19.609484,20.071527,18.952316,0.575,
2203778094660059140,1.384,-136.2861,,,,20.696901,21.22577,19.98102,4.0,
1985128090568753153,0.642,-134.89456,4187.9355,4.702,K7V,20.669245,21.488976,19.741264,2.5,0.5897274
1985128090568753154,0.324,50.545975,3564.5112,4.981,M1.5V,23.210997,24.468107,22.051847,2.5,0.30244842
1985128090568753161,0.36,-38.68701,3723.917,4.953,M0.5V,23.581453,24.698856,22.472149,4.0,0.3301044
1985128090568753166,0.601,-141.21104,3971.9155,4.708,K8V,21.288223,22.202585,20.302893,6.0,0.5657849
1985128090568753167,0.882,64.739555,6039.4863,4.475,F9V,18.443596,18.814426,17.883787,6.0,0.88848746
1985128090568753170,0.964,-118.029045,5457.5786,4.45,G5V,19.900898,20.436241,19.185627,6.0,0.95642585
1985128090568753171,0.337,-105.26258,3723.917,4.971,M0V,24.53953,25.6505,23.447657,6.0,0.31235704
1985128090568753173,0.313,-150.28685,3451.4375,4.967,M2.5V,25.32658,26.670052,24.125301,6.0,0.30384445
1985128090568753177,0.197,-20.973877,3556.3132,5.103,M1.5V,21.466923,22.67222,20.334513,8.5,0.20542407
1985128090568753179,0.26,-56.86692,3491.403,5.015,M2V,21.937338,23.166945,20.795248,8.5,0.2610065
1985128090568753184,0.167,-24.172112,3396.2527,5.142,M2.5V,24.612154,26.126465,23.349503,8.5,0.18140586
1985128090568753185,0.6,-92.36599,4819.479,8.03,DAVII,29.069859,29.477848,28.460346,8.5,0.012264537
1985128090568753193,0.842,24.138052,5308.844,4.525,G7V,20.38503,20.97061,19.628283,8.5,0.8178079
1985128090568753198,0.786,6.9862084,5470.1597,4.588,G5.5V,18.64018,19.084858,17.999561,10.0,0.74584967
1985128090568753199,0.385,43.54626,3732.5015,4.932,M1V,22.66558,23.713495,21.617722,10.0,0.35208806
1985128090568753202,0.157,-21.97211,3258.367,5.148,M3.5V,25.355846,26.994884,24.067259,10.0,0.1740409
1985128090568753203,0.861,-101.819916,5888.4365,4.467,G0.5V,18.548838,18.934261,17.964235,10.0,0.89670855
1985128090568753205,0.157,-95.391106,3258.367,5.148,M3.5V,25.621593,27.195963,24.354462,10.0,0.1740409
1985128090568753206,0.631,-113.39008,4456.5625,4.7,K5V,20.912565,21.585829,20.085789,10.0,0.58701783
1985128090568753207,0.946,-64.5411,6109.4204,4.181,F6IV,17.686993,18.060326,17.11885,10.0,1.3081312
1985128090568753208,0.433,-45.187336,3801.894,4.896,M0.5V,22.877188,23.959217,21.821573,10.0,0.38962904
1985128090568753211,0.958,-52.733456,6053.4087,4.092,F6.5IV,17.917809,18.33653,17.301903,10.0,1.4610037
1985128090568753213,0.359,-75.40107,3706.8071,4.947,M1V,23.829212,24.953949,22.752703,10.0,0.33315882
1985128090568753223,0.433,-133.34924,3801.894,4.896,M0.5V,23.58762,24.732937,22.502052,10.0,0.38962904
1985128090568753224,0.185,-46.50152,3380.6484,5.106,M3V,26.066744,27.307028,24.924953,10.0,0.19890757
1985128090568753237,0.31,-40.586056,3647.5396,4.977,M1.5V,24.869228,26.020203,23.766228,10.0,0.29967555
1985128090568753243,0.334,-75.2927,3672.823,4.962,M1.5V,24.66245,25.786074,23.579641,10.0,0.31670237
1985128090568753246,0.239,-67.107475,3523.7087,5.039,M2V,25.479696,26.816402,24.321371,10.0,0.24470977
1985128090568753247,0.157,-138.2853,3258.367,5.148,M3.5V,26.913597,28.554947,25.62829,10.0,0.1740409
1985128090568753253,0.695,-145.37094,4864.0723,4.659,K2.5V,21.551208,22.17116,20.765203,10.0,0.64662325
1985128090568753254,0.575,-159.09247,2985.3818,8.0,DAVII,32.06322,32.531075,31.39548,10.0,0.012492557
1985128090568753255,0.271,-156.36809,3589.2192,5.008,M2V,25.250788,26.584887,24.093403,10.0,0.26955745
1773028092529344566,0.747,17.76153,5223.962,4.625,G9V,20.154678,20.785282,19.354687,10.0,0.6992803
1773028092529344567,0.898,-34.24455,6039.4863,4.374,F9V,18.635704,19.114151,17.965769,10.0,1.0201201
1773028092529344569,0.824,7.4770255,5701.6426,4.538,G2.5V,19.774048,20.338793,19.025187,10.0,0.80658716
1773028092529344570,0.861,-29.479225,5888.4365,4.467,G0.5V,19.364363,19.862247,18.676254,10.0,0.89670855
1773028092529344577,0.712,-55.51915,5847.901,4.604,G1V,20.95042,21.541437,20.175598,14.0,0.69606745
1773028092529344582,0.829,47.13064,6039.4863,4.419,F9V,20.551674,21.075403,19.83655,12.0,0.9303606
1773028092663562245,0.737,-10.251842,4623.81,4.655,K3.5V,20.37404,21.194124,19.449846,1.5,0.65864486
1773028092663562247,0.897,36.985073,5308.844,4.553,G7V,19.150099,19.77601,18.358244,2.5,0.8178079
1773028092663562248,0.869,-10.894129,5188.0005,4.569,G8V,19.772038,20.447424,18.941898,2.5,0.788227
1773028092663562251,0.246,-21.564657,3380.6484,5.031,M2.5V,20.783352,22.231182,19.545876,4.0,0.24925926
1773028092663562252,0.713,64.572845,4581.419,4.657,K4V,19.294739,20.102156,18.378065,4.0,0.6496079
1773028092663562253,1.308,-2.0004606,6095.369,3.973,F7IV,16.006325,16.496197,15.325376,4.0,1.925978
1773028092663562254,1.206,-8.976525,6237.348,4.18,F7V,16.794525,17.27283,16.124187,4.0,1.454291
1773028092663562255,1.253,-25.539154,6367.955,4.118,F6V,16.845608,17.321955,16.176416,4.0,1.5945984
1773028092663562256,1.03,-15.57291,5834.451,4.416,G1V,18.262302,18.822754,17.519165,4.0,1.0248288
1773028092663562257,1.355,8.337856,6095.369,3.905,F7IV,16.99165,17.504244,16.287779,4.0,2.1215405
1773028092663562258,0.857,-21.417025,5188.0005,4.563,G8V,19.837255,20.462448,19.044992,4.0,0.788227
1773028092663562259,0.959,105.57315,5571.8574,4.487,G4V,19.613512,20.246672,18.8155,4.0,0.909183
1773028092663562262,0.411,13.117674,3580.9644,4.889,M1.5V,21.273952,22.621338,20.087986,6.0,0.37901056
1773028092663562265,0.957,-3.1467483,5571.8574,4.45,G3V,18.626001,19.248436,17.83332,6.0,0.9520315
1773028092663562269,0.913,26.736675,5445.0264,4.496,G5V,20.06429,20.666916,19.288849,6.0,0.88034177
1773028092663562270,0.836,-62.475048,5407.5435,4.556,G5.5V,20.344696,20.940022,19.57517,6.0,0.788227
1773028092663562271,1.068,-1.8303632,5970.353,4.278,F9V,19.245956,19.746899,18.55298,6.0,1.2208191
1773028092663562273,1.025,31.193752,5701.6426,4.25,G2.5V,17.087828,17.632519,16.360628,8.5,1.2378024
1773028092663562279,0.651,17.223629,4335.109,4.672,K5V,20.641626,21.54918,19.663523,8.5,0.61185896
1773028092663562282,1.005,-15.485321,5956.6216,4.243,G0V,18.458649,19.022427,17.712078,8.5,1.2378024
1773028092663562286,0.941,-24.481926,5942.9214,4.364,G0V,19.695425,20.211716,18.988567,8.5,1.0390856
1773028092663562287,0.993,2.0409293,6081.35,4.235,F8V,19.443838,19.990438,18.710054,8.5,1.2378024
1773028092663562289,0.766,-8.260573,5345.6436,4.608,G7V,18.62299,19.204355,17.862274,10.0,0.7221897
1773028092663562290,0.842,-0.90874714,5807.644,4.506,G1.5V,18.11574,18.618372,17.422834,10.0,0.84849894
1773028092663562293,0.766,-42.226456,5345.6436,4.608,G7V,19.558058,20.144693,18.795116,10.0,0.7221897
1773028092663562299,0.97,24.815945,5861.382,3.954,F8IV,18.148504,18.732573,17.384281,10.0,1.7165297
1773028092797779973,0.629,-23.503916,4102.041,4.711,K7V,21.306606,22.354786,20.245588,1.5,0.5763036
1729428093069689002,0.655,32.738075,4265.7954,4.681,K6V,24.14662,26.020395,22.810741,6.0,0.6062494
1729428093069689003,0.917,-114.60681,5333.349,4.496,G6V,22.531197,24.091543,21.281044,6.0,0.88440526
1729428093069689005,0.628,94.19237,4159.106,4.693,K7V,25.541449,27.88626,24.111109,6.0,0.58701783
1729428093069689014,0.486,52.477272,3990.249,4.805,K8V,21.52672,23.043531,20.293602,8.5,0.45567092
1729428093069689016,0.121,-99.95753,3033.891,5.212,M5.5V,26.406292,29.115292,24.90985,8.5,0.14211872
1729428093069689018,0.741,163.29218,5164.1636,4.605,G9V,20.464785,21.45599,19.439188,8.5,0.6992803
1729428093069689021,0.35,42.857265,3732.5015,4.953,M0V,24.230404,25.909998,22.934572,8.5,0.3255752
1729428093069689022,0.242,87.315994,3372.873,5.023,M2.5V,25.193743,27.308369,23.789995,8.5,0.25040978
1729428093069689024,0.26,-67.7341,3491.403,5.015,M2V,25.2571,27.226435,23.890085,8.5,0.2610065
1729428093069689025,0.651,-83.29045,4335.109,4.672,K5V,22.158426,23.517296,20.97553,8.5,0.61185896
1729428093069689027,0.6,-92.30248,5140.436,8.05,DBVII,30.359278,31.355627,29.32831,8.5,0.012096268
1729428093069689028,0.201,25.263885,3303.6953,5.07,M3.5V,26.328892,28.368822,24.950884,8.5,0.21609828
1729428093069689029,0.344,13.860726,3580.9644,4.945,M1.5V,24.813114,26.783457,23.453518,8.5,0.3255752
1729428093069689030,0.817,-143.43799,5296.6343,4.547,G7V,20.813553,21.79271,19.794645,8.5,0.788227
1729428093069689032,0.611,45.79087,4591.98,4.689,K4V,22.077513,23.278221,20.956846,8.5,0.5816361
1729428093069689035,0.305,137.5054,3810.6582,4.992,K9V,24.875025,26.598137,23.567743,8.5,0.29150856
1729428093069689036,0.346,-129.35078,3655.948,4.95,M0.5V,25.244776,27.020842,23.924084,8.5,0.3240793
1729428093069689051,0.188,130.98416,3318.9446,5.094,M3.5V,30.235685,34.15182,28.616299,8.5,0.20260555
1729428093069689059,0.295,127.618385,3443.4993,4.973,M2.5V,30.89621,34.86687,29.283998,8.5,0.2928541
1729428093069689061,0.203,-14.127103,3443.4993,5.082,M2.5V,20.17511,21.455595,19.010366,10.0,0.21411708
1729428093069689063,0.359,37.84215,3706.8071,4.947,M1V,23.295897,24.846912,22.048893,10.0,0.33315882
